,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,cape town,-33.93,18.42,69.01,77,0,10.29,ZA,2020-12-07 21:25:44
72,bluff,-46.6,168.33,64.0,68,33,5.01,NZ,2020-12-07 21:29:26
73,vaini,-21.2,-175.2,82.4,78,75,11.41,TO,2020-12-07 21:29:26
74,imbituba,-28.24,-48.67,71.6,88,75,6.93,BR,2020-12-07 21:29:26
75,buin,-33.73,-70.75,82.4,28,0,10.29,CL,2020-12-07 21:29:26
76,touros,-5.2,-35.46,78.8,83,40,9.17,BR,2020-12-07 21:29:27
77,xining,36.62,101.77,17.82,85,93,3.13,CN,2020-12-07 21:29:27
78,qurayyat,31.33,37.34,50.0,61,40,9.17,SA,2020-12-07 21:29:27
79,jasa tomic,45.45,20.86,43.0,75,100,31.09,RS,2020-12-07 21:29:27
80,clyde river,70.47,-68.59,6.8,92,90,3.36,CA,2020-12-07 21:29:27
81,bengkulu,-3.8,102.27,74.68,87,70,4.16,ID,2020-12-07 21:29:27
82,new norfolk,-42.78,147.06,53.01,66,34,3.0,AU,2020-12-07 21:29:27
83,karasuk,53.74,78.04,7.99,95,100,14.45,RU,2020-12-07 21:29:27
84,punta arenas,-53.15,-70.92,55.4,66,75,11.41,CL,2020-12-07 21:29:28
85,prince rupert,54.32,-130.32,46.4,87,90,10.29,CA,2020-12-07 21:29:28
86,butaritari,3.07,172.79,81.86,76,85,12.37,KI,2020-12-07 21:29:28
87,nauta,-4.51,-73.58,83.43,69,48,3.51,PE,2020-12-07 21:29:28
88,cherskiy,68.75,161.3,-0.45,93,100,4.9,RU,2020-12-07 21:29:28
89,galveston,29.37,-94.97,66.0,42,1,10.29,US,2020-12-07 21:29:28
90,nome,64.5,-165.41,10.4,51,40,9.17,US,2020-12-07 21:29:29
91,kenora,49.82,-94.43,26.6,92,90,8.05,CA,2020-12-07 21:29:29
92,paramonga,-10.67,-77.83,68.32,77,98,7.09,PE,2020-12-07 21:29:29
93,liwonde,-15.05,35.2,74.21,86,100,2.86,MW,2020-12-07 21:29:29
94,moindou,-21.69,165.68,84.2,70,1,2.24,NC,2020-12-07 21:29:29
95,severo-kurilsk,50.68,156.12,26.13,91,93,11.81,RU,2020-12-07 21:29:29
96,east london,-33.02,27.91,71.83,88,52,22.59,ZA,2020-12-07 21:25:02
97,thompson,55.74,-97.86,23.0,100,90,5.82,CA,2020-12-07 21:29:30
98,alofi,-19.06,-169.92,82.4,78,75,17.22,NU,2020-12-07 21:28:12
99,bryan,30.67,-96.37,66.2,31,1,8.05,US,2020-12-07 21:29:30
100,havre-saint-pierre,50.23,-63.6,32.0,90,90,13.87,CA,2020-12-07 21:30:46
101,novikovo,51.15,37.89,18.32,89,0,10.65,RU,2020-12-07 21:30:46
102,sitka,57.05,-135.33,46.4,75,90,23.04,US,2020-12-07 21:30:46
103,buala,-8.14,159.59,83.41,74,100,3.09,SB,2020-12-07 21:30:46
104,uvat,59.14,68.9,20.52,98,100,5.77,RU,2020-12-07 21:30:46
105,marion,39.77,-86.16,37.0,64,90,13.87,US,2020-12-07 21:29:49
106,taoudenni,22.68,-3.98,63.14,30,0,11.7,ML,2020-12-07 21:30:47
107,dickson,36.08,-87.39,41.0,56,90,8.05,US,2020-12-07 21:30:47
108,souillac,-20.52,57.52,77.0,88,20,5.88,MU,2020-12-07 21:30:47
